job_id,category,job_title,job_description,job_skill_set,source
real_ds_001,Data Scientist,Data Scientist,We are looking for a Data Scientist to build predictive models and extract business insights from large datasets. You will work closely with product and engineering teams.,"Python, Scikit-Learn, Pandas, NumPy, SQL, Data Visualization, Statistics, Jupyter Notebook",manual
real_ds_002,Data Scientist,Senior Data Scientist – NLP,Seeking a Senior Data Scientist to develop NLP pipelines for text classification and sentiment analysis on customer feedback data.,"Python, NLP, TensorFlow, Hugging Face, Pandas, SQL, Git, Statistics, Jupyter Notebook",manual
real_ds_003,Data Scientist,Data Scientist – Computer Vision,"Build and fine-tune computer vision models for defect detection in manufacturing. You will handle data labeling, model training, and deployment.","Python, Computer Vision, PyTorch, OpenCV, NumPy, Scikit-Learn, Git, Data Visualization",manual
real_ds_004,Data Scientist,ML Engineer / Data Scientist,Design end-to-end machine learning pipelines from data ingestion to model deployment. Collaborate with data engineers and business stakeholders.,"Python, Scikit-Learn, Machine Learning, SQL, A/B Testing, Pandas, Docker, Git, Statistics",manual
real_ds_005,Data Scientist,Data Scientist – Recommendation Systems,Develop personalized recommendation algorithms for an e-commerce platform serving millions of users daily.,"Python, Machine Learning, Scikit-Learn, SQL, Pandas, NumPy, A/B Testing, Data Visualization, Statistics",manual
real_ds_006,Data Scientist,Data Scientist – Fraud Detection,Build real-time fraud detection models using transaction data. Experience with imbalanced datasets and anomaly detection is required.,"Python, Machine Learning, Scikit-Learn, SQL, Pandas, Statistics, NumPy, Data Visualization, Git",manual
real_ds_007,Data Scientist,Research Data Scientist,Conduct research on statistical forecasting models for financial markets. You will publish internal papers and present findings to leadership.,"Python, Statistics, Machine Learning, Scikit-Learn, Pandas, NumPy, Data Visualization, SQL, Jupyter Notebook",manual
real_ds_008,Data Scientist,Data Scientist – Healthcare,Apply ML to clinical data for patient outcome prediction and readmission risk scoring. Privacy and data governance knowledge is a plus.,"Python, Scikit-Learn, Pandas, Statistics, Machine Learning, SQL, Data Visualization, NumPy, Jupyter Notebook",manual
real_ds_009,Data Scientist,Data Scientist – Ads & Growth,"Optimize advertising campaigns using ML models for CTR prediction, audience segmentation, and budget allocation.","Python, Machine Learning, A/B Testing, SQL, Pandas, Scikit-Learn, Statistics, Data Visualization, Git",manual
real_ds_010,Data Scientist,Junior Data Scientist,"Entry-level Data Scientist role. You will assist in data cleaning, exploratory analysis, feature engineering, and model prototyping.","Python, Pandas, NumPy, Scikit-Learn, SQL, Statistics, Data Visualization, Jupyter Notebook",manual
real_ds_011,Data Scientist,Data Scientist – Supply Chain,Build time-series forecasting models for demand planning and inventory optimization across a global supply chain.,"Python, Machine Learning, Statistics, Pandas, NumPy, Scikit-Learn, SQL, Data Visualization, Jupyter Notebook",manual
real_ds_012,Data Scientist,Data Scientist – Deep Learning,Develop deep learning architectures for image and audio classification tasks. Experience with GPU training and model optimization required.,"Python, PyTorch, TensorFlow, Deep Learning, NumPy, Scikit-Learn, Git, Computer Vision, Jupyter Notebook",manual
real_ds_013,Data Scientist,Data Scientist – Churn Prediction,Build customer churn prediction models using behavioral and demographic data. Present findings to business stakeholders regularly.,"Python, Machine Learning, Scikit-Learn, SQL, Pandas, A/B Testing, Data Visualization, Statistics, Git",manual
real_ds_014,Data Scientist,Data Scientist – Generative AI,Develop LLM-based solutions for internal knowledge management. Fine-tune foundation models and build evaluation pipelines.,"Python, NLP, TensorFlow, Hugging Face, Machine Learning, Git, Pandas, Statistics, Jupyter Notebook",manual
real_ds_015,Data Scientist,Data Scientist – Pricing,Build price optimization and demand elasticity models for a retail platform with millions of SKUs.,"Python, Machine Learning, Statistics, Pandas, SQL, Scikit-Learn, NumPy, A/B Testing, Data Visualization",manual
real_ds_016,Data Scientist,Data Scientist,Design and run A/B experiments to evaluate new product features. Communicate statistical results to non-technical stakeholders.,"Python, A/B Testing, Statistics, Pandas, SQL, Scikit-Learn, Data Visualization, NumPy, Jupyter Notebook",manual
real_ds_017,Data Scientist,Data Scientist – Genomics,Analyze genomic datasets using statistical and ML methods to support drug discovery research.,"Python, Statistics, Machine Learning, Pandas, NumPy, Scikit-Learn, Data Visualization, SQL, Jupyter Notebook",manual
real_ds_018,Data Scientist,Data Scientist – Cybersecurity,Build anomaly detection and threat classification models for a cybersecurity monitoring platform.,"Python, Machine Learning, Scikit-Learn, Statistics, SQL, Pandas, NumPy, Git, Data Visualization",manual
real_ds_019,Data Scientist,Data Scientist – Retail,Analyze customer purchase behavior and build segmentation models to support personalized marketing campaigns.,"Python, Machine Learning, SQL, Pandas, Scikit-Learn, A/B Testing, Statistics, Data Visualization, NumPy",manual
real_ds_020,Data Scientist,Data Scientist – Computer Vision (Medical),Develop CV models for medical image analysis including X-ray and MRI scan classification for diagnostic support tools.,"Python, Computer Vision, PyTorch, TensorFlow, NumPy, Scikit-Learn, Deep Learning, Git, Jupyter Notebook",manual
real_da_001,Data Analyst,Data Analyst,Analyze business performance data and create reports for management. Work with SQL databases and BI tools daily.,"SQL, Excel, Power BI, Data Visualization, Statistics, Google Sheets, Tableau, PostgreSQL",manual
real_da_002,Data Analyst,Business Data Analyst,"Support business decisions by analyzing sales, marketing, and operational data. Deliver clear insights to leadership through dashboards.","SQL, Excel, Tableau, Google Analytics, Statistics, Power BI, Data Visualization, Google Sheets",manual
real_da_003,Data Analyst,Marketing Data Analyst,Track and analyze marketing campaign performance across digital channels. Run A/B tests and optimize campaigns based on insights.,"Google Analytics, SQL, Excel, Tableau, A/B Testing, Power BI, Data Visualization, Statistics, Google Sheets",manual
real_da_004,Data Analyst,Financial Data Analyst,Analyze financial datasets to support budgeting and forecasting. Prepare weekly and monthly reports for the CFO and finance team.,"Excel, SQL, Power BI, Statistics, Data Visualization, Google Sheets, Tableau, PostgreSQL",manual
real_da_005,Data Analyst,Product Data Analyst,"Track product usage metrics, build conversion funnels, and run A/B tests to support product decisions.","SQL, A/B Testing, Google Analytics, Data Visualization, Excel, Tableau, Statistics, Power BI, Google Sheets",manual
real_da_006,Data Analyst,Data Analyst – E-commerce,"Analyze online store performance including conversion rates, cart abandonment, and revenue trends. Report to senior management.","SQL, Google Analytics, Excel, Tableau, A/B Testing, Data Visualization, Power BI, Statistics, Google Sheets",manual
real_da_007,Data Analyst,Operations Data Analyst,Analyze operational and logistics data to identify inefficiencies and suggest process improvements across the supply chain.,"SQL, Excel, Tableau, Statistics, Data Visualization, Power BI, PostgreSQL, Google Sheets",manual
real_da_008,Data Analyst,Data Analyst – HR Analytics,"Support HR with workforce analytics including attrition analysis, headcount planning, and performance tracking dashboards.","SQL, Excel, Power BI, Statistics, Data Visualization, Google Sheets, Tableau, Google Analytics",manual
real_da_009,Data Analyst,Junior Data Analyst,"Entry-level analyst role focused on data cleaning, reporting, and building dashboards for business teams.","SQL, Excel, Power BI, Data Visualization, Google Analytics, Google Sheets, Statistics, Tableau",manual
real_da_010,Data Analyst,Data Analyst – CRM,"Extract, clean, and analyze customer data to support CRM and retention strategies. Build customer segmentation reports.","SQL, PostgreSQL, Excel, Power BI, Data Visualization, Statistics, Tableau, Google Sheets, A/B Testing",manual
real_da_011,Data Analyst,Data Analyst – Risk,Analyze credit and risk data to support underwriting decisions. Build risk scorecards and monitor portfolio performance.,"SQL, Excel, Statistics, Power BI, Data Visualization, Tableau, PostgreSQL, Google Sheets",manual
real_da_012,Data Analyst,Growth Data Analyst,"Identify growth opportunities by analyzing acquisition, activation, and retention metrics for a mobile app product.","SQL, Google Analytics, A/B Testing, Data Visualization, Excel, Tableau, Statistics, Power BI, Google Sheets",manual
real_da_013,Data Analyst,Data Analyst – Healthcare,Analyze patient flow and hospital operations data to improve efficiency. Experience with healthcare reporting standards is a plus.,"SQL, Excel, Power BI, Statistics, Data Visualization, Tableau, PostgreSQL, Google Sheets",manual
real_da_014,Data Analyst,Data Analyst – Reporting Automation,Build automated reporting pipelines to reduce manual work and improve data accuracy for business teams.,"SQL, Python, Pandas, Power BI, Data Visualization, Excel, Tableau, Statistics, Google Sheets",manual
real_da_015,Data Analyst,Data Analyst – Metabase,Maintain and optimize BI dashboards in Metabase. Work with engineering to ensure data quality and pipeline reliability.,"SQL, Metabase, Data Visualization, Excel, Statistics, Power BI, PostgreSQL, Google Sheets, Tableau",manual
real_da_016,Data Analyst,Data Analyst – Sales,Analyze sales pipeline data and report trends to the revenue operations team. Support sales forecasting processes.,"SQL, Excel, Tableau, Statistics, Data Visualization, Power BI, Google Sheets, Google Analytics",manual
real_da_017,Data Analyst,Data Analyst – Survey & Research,Analyze survey data and customer feedback to generate insights for the product roadmap. Present findings clearly to stakeholders.,"Excel, SQL, Statistics, Data Visualization, Power BI, Google Sheets, Tableau, Google Analytics",manual
real_da_018,Data Analyst,Data Analyst – Logistics,"Track and report on delivery performance, warehouse efficiency, and fleet utilization for a logistics company.","SQL, Excel, Power BI, Data Visualization, Statistics, Tableau, PostgreSQL, Google Sheets",manual
real_da_019,Data Analyst,Data Analyst – Cohort Analysis,Perform cohort and retention analysis for a SaaS product. Support the product team with actionable data insights weekly.,"SQL, Python, Pandas, Data Visualization, Statistics, Tableau, Power BI, A/B Testing, Google Sheets",manual
real_da_020,Data Analyst,Data Analyst – Media,Analyze audience engagement and content performance metrics for a digital media company. Build weekly executive dashboards.,"SQL, Google Analytics, Excel, Tableau, Data Visualization, Power BI, A/B Testing, Statistics, Google Sheets",manual
real_se_001,Software Engineer,Backend Software Engineer,Design and build scalable backend services using Java and REST APIs. Work in an agile team delivering features for millions of users.,"Java, REST API, SQL, Git, Algorithms, Data Structures, PostgreSQL, Unit Testing, Docker",manual
real_se_002,Software Engineer,Software Engineer – Python,Develop backend microservices in Python for a high-load fintech platform. Experience with PostgreSQL and Docker is required.,"Python, PostgreSQL, Docker, REST API, Git, Unit Testing, Redis, Linux, Algorithms",manual
real_se_003,Software Engineer,Software Engineer – C++,Build performance-critical systems in C++ for a real-time trading platform. Strong data structures and algorithms knowledge required.,"C++, Algorithms, Data Structures, Git, Linux, Unit Testing, Bash, REST API",manual
real_se_004,Software Engineer,Full Stack Software Engineer,Develop both frontend and backend features for a SaaS product. You will use React on frontend and Java on the backend.,"Java, React, SQL, Git, REST API, PostgreSQL, Docker, Unit Testing, Algorithms",manual
real_se_005,Software Engineer,Software Engineer – Distributed Systems,Build and maintain distributed systems for data ingestion and processing at scale. Experience with Redis and messaging queues preferred.,"Python, Redis, PostgreSQL, Docker, Git, REST API, Linux, Algorithms, Data Structures, Unit Testing",manual
real_se_006,Software Engineer,Software Engineer – Java Enterprise,Develop new features for a large enterprise ERP system. Work closely with business analysts and QA engineers.,"Java, SQL, Algorithms, Data Structures, Git, Unit Testing, REST API, PostgreSQL, Docker",manual
real_se_007,Software Engineer,Junior Software Engineer,"Entry-level role. You will fix bugs, write unit tests, and gradually take on feature development under senior mentorship.","Python, Git, SQL, Algorithms, REST API, Unit Testing, Data Structures, Linux",manual
real_se_008,Software Engineer,Software Engineer – Platform,"Design and own platform-level services used by all product teams. Focus on reliability, scalability, and developer experience.","Java, Docker, REST API, PostgreSQL, Git, Unit Testing, Redis, Linux, Algorithms, Data Structures",manual
real_se_009,Software Engineer,Software Engineer – Payments,Build and maintain high-availability payment processing services. Experience with financial systems and compliance requirements is a plus.,"Java, PostgreSQL, REST API, Git, Redis, Unit Testing, Docker, Algorithms, SQL",manual
real_se_010,Software Engineer,Software Engineer – Search,Work on search infrastructure to improve relevance and query performance for millions of daily searches.,"Java, Algorithms, Data Structures, SQL, Git, Unit Testing, PostgreSQL, REST API, Docker",manual
real_se_011,Software Engineer,Software Engineer – Internal Tools,Build internal developer tools and automation scripts to improve engineering productivity across multiple teams.,"Python, Bash, Git, Linux, Docker, REST API, Unit Testing, SQL, Algorithms",manual
real_se_012,Software Engineer,Software Engineer – Security,Build secure backend services and implement security best practices across the engineering organization.,"Python, Linux, Docker, Git, REST API, Unit Testing, Bash, Algorithms, SQL",manual
real_se_013,Software Engineer,Software Engineer – Database,Design database schemas and optimize slow queries for a data-intensive application. Strong SQL skills are a must.,"SQL, PostgreSQL, Python, Git, REST API, Unit Testing, Docker, Algorithms, Data Structures, Linux",manual
real_se_014,Software Engineer,Software Engineer – Mobile Backend,Build backend services powering iOS and Android mobile apps. Experience with push notifications and mobile API patterns preferred.,"Python, REST API, PostgreSQL, Redis, Docker, Git, Unit Testing, Linux, Algorithms",manual
real_se_015,Software Engineer,Software Engineer – Cloud Native,Develop and maintain microservices in a cloud-native environment with containerized workloads and CI/CD pipelines.,"Java, Docker, Git, REST API, PostgreSQL, Unit Testing, Linux, Algorithms, Data Structures, SQL",manual
real_se_016,Software Engineer,Software Engineer – Data Platform,Build data pipeline infrastructure to support analytics and ML teams. Experience with batch and streaming data processing preferred.,"Python, SQL, Docker, Git, Linux, REST API, PostgreSQL, Unit Testing, Bash, Algorithms",manual
real_se_017,Software Engineer,Software Engineer – Open Source,Contribute to an open-source Python framework used by thousands of developers. Strong software design patterns knowledge needed.,"Python, Git, Algorithms, Data Structures, REST API, Unit Testing, Linux, Docker, SQL",manual
real_se_018,Software Engineer,Software Engineer – API Development,Build and maintain REST and GraphQL APIs consumed by web and mobile clients. API design and documentation experience required.,"Python, REST API, PostgreSQL, Git, Docker, Unit Testing, SQL, Algorithms, Redis",manual
real_se_019,Software Engineer,Software Engineer – Game Backend,"Develop server-side game logic, leaderboards, and matchmaking systems for a multiplayer online game platform.","Java, Redis, PostgreSQL, REST API, Git, Algorithms, Data Structures, Docker, Unit Testing",manual
real_se_020,Software Engineer,Software Engineer – EdTech,"Build features for an online learning platform used by students worldwide. Focus on reliability, performance, and accessibility.","Python, PostgreSQL, REST API, Git, Docker, SQL, Unit Testing, Algorithms, Linux",manual
real_fe_001,Frontend Developer,Frontend Developer – React,Build responsive web interfaces using React and TypeScript. Collaborate with designers and backend engineers to deliver great UX.,"React, TypeScript, CSS, HTML, Git, Figma, REST API, Webpack, Unit Testing",manual
real_fe_002,Frontend Developer,Frontend Developer – Vue.js,Develop and maintain a Vue.js admin panel for an enterprise SaaS product. Pixel-perfect implementation of Figma designs required.,"Vue.js, JavaScript, CSS, HTML, Git, Figma, REST API, SASS, Unit Testing",manual
real_fe_003,Frontend Developer,Senior Frontend Developer,Lead frontend development for a high-traffic e-commerce platform. Experience with performance optimization and accessibility valued.,"React, TypeScript, Next.js, CSS, Git, Figma, Webpack, REST API, Unit Testing, SASS",manual
real_fe_004,Frontend Developer,Frontend Developer – Design System,Build and maintain a component library used across multiple products. Strong CSS and accessibility knowledge required.,"React, CSS, HTML, Figma, TypeScript, Git, SASS, Unit Testing, Webpack",manual
real_fe_005,Frontend Developer,Frontend Developer – Next.js,Build new features for a Next.js web application with SEO and performance requirements. Work closely with the product team.,"Next.js, React, TypeScript, CSS, Git, Figma, REST API, Webpack, Unit Testing",manual
real_fe_006,Frontend Developer,Junior Frontend Developer,Entry-level frontend role. Implement UI components based on Figma designs using React and CSS under senior guidance.,"React, JavaScript, CSS, HTML, Git, Figma, REST API, Unit Testing",manual
real_fe_007,Frontend Developer,Frontend Developer – Data Visualization,Build interactive data visualization dashboards using React and charting libraries. Strong JavaScript fundamentals required.,"React, JavaScript, TypeScript, CSS, Git, Figma, REST API, Webpack, Unit Testing",manual
real_fe_008,Frontend Developer,Frontend Developer – Performance,"Optimize frontend performance for a large React app — reduce bundle size, improve load times, implement lazy loading strategies.","React, Webpack, JavaScript, TypeScript, CSS, Git, Unit Testing, HTML, SASS",manual
real_fe_009,Frontend Developer,Frontend Developer – State Management,Integrate REST APIs and manage complex state with Redux in a React application. Work on a fast-paced product team.,"React, Redux, JavaScript, REST API, CSS, TypeScript, Git, Figma, Unit Testing, HTML",manual
real_fe_010,Frontend Developer,Frontend Developer – Marketing Site,"Build a marketing website using Next.js with a focus on SEO, performance, and CMS integration.","Next.js, React, CSS, HTML, TypeScript, Git, Figma, Webpack, SASS",manual
real_fe_011,Frontend Developer,Frontend Developer – Vue.js & SASS,"Collaborate with UX designers to implement complex UI flows in a Vue.js application. Write clean, maintainable SASS.","Vue.js, JavaScript, SASS, CSS, Figma, Git, REST API, Unit Testing, HTML",manual
real_fe_012,Frontend Developer,Frontend Developer – Migration,Migrate a legacy Angular application to modern React. Strong JavaScript fundamentals and refactoring experience essential.,"React, JavaScript, TypeScript, CSS, Git, Unit Testing, HTML, Webpack, REST API",manual
real_fe_013,Frontend Developer,Frontend Developer – Banking,Build accessible and secure user interfaces for an online banking application. Strict accessibility and compliance standards apply.,"React, TypeScript, CSS, HTML, Figma, Git, Unit Testing, REST API, SASS",manual
real_fe_014,Frontend Developer,Frontend Developer – Real-time App,Work on a real-time collaborative web app. Experience with WebSockets and complex state management is preferred.,"React, Redux, JavaScript, TypeScript, CSS, Git, REST API, Webpack, Unit Testing",manual
real_fe_015,Frontend Developer,Frontend Developer – EdTech,Build frontend features for an EdTech platform used by students worldwide. Experience with video players and media APIs is a plus.,"React, JavaScript, CSS, REST API, Git, TypeScript, HTML, Figma, Unit Testing",manual
real_fe_016,Frontend Developer,Frontend Developer – Forms & Wizards,Implement complex multi-step forms and wizards in a React app. Strong attention to UX and form validation patterns required.,"React, TypeScript, CSS, Figma, Git, JavaScript, HTML, REST API, Unit Testing",manual
real_fe_017,Frontend Developer,Frontend Developer – HR Tool,Develop a Vue.js frontend for an internal HR management tool. Own features from design review to production deployment.,"Vue.js, JavaScript, CSS, HTML, Git, Figma, REST API, SASS, Unit Testing",manual
real_fe_018,Frontend Developer,Frontend Developer – News Portal,"Build and maintain the frontend of a high-traffic news portal. SEO, performance, and cross-browser compatibility are priorities.","Next.js, React, CSS, TypeScript, Webpack, Git, HTML, SASS, Unit Testing",manual
real_fe_019,Frontend Developer,Frontend Developer – Mobile Web,"Build mobile-first web experiences with a focus on touch interactions, responsiveness, and offline support using PWA techniques.","React, JavaScript, CSS, HTML, Git, TypeScript, Webpack, REST API, Unit Testing",manual
real_fe_020,Frontend Developer,Frontend Developer – SaaS Dashboard,"Build feature-rich SaaS dashboards with complex filtering, pagination, and real-time data updates using React and TypeScript.","React, TypeScript, Redux, CSS, REST API, Git, Figma, Webpack, Unit Testing, JavaScript",manual
real_dv_001,DevOps Engineer,DevOps Engineer – AWS,Manage cloud infrastructure on AWS and automate deployments using Terraform and Ansible. Ensure high availability of production.,"AWS, Terraform, Ansible, Docker, Linux, Bash, CI/CD, Git, Kubernetes",manual
real_dv_002,DevOps Engineer,DevOps Engineer – CI/CD,Build and maintain CI/CD pipelines using Jenkins and GitLab CI. Work closely with dev teams to streamline software delivery.,"CI/CD, Jenkins, GitLab CI, Docker, Bash, Linux, Git, Kubernetes, AWS",manual
real_dv_003,DevOps Engineer,Senior DevOps Engineer – Kubernetes,Lead migration of on-premise infrastructure to a Kubernetes-based cloud platform. Helm and cluster operations experience required.,"Kubernetes, AWS, Docker, Terraform, Linux, Bash, CI/CD, Ansible, Git",manual
real_dv_004,DevOps Engineer,DevOps Engineer – Observability,"Monitor production systems and improve observability by setting up logging, metrics, alerting, and distributed tracing.","Linux, Docker, Kubernetes, Bash, AWS, Terraform, CI/CD, Git, Ansible",manual
real_dv_005,DevOps Engineer,DevOps Engineer – Infrastructure as Code,Automate infrastructure provisioning and configuration management using Ansible and Terraform across all environments.,"Ansible, Terraform, Linux, Bash, Docker, AWS, Git, CI/CD, Kubernetes",manual
real_dv_006,DevOps Engineer,Junior DevOps Engineer,"Entry-level DevOps role. Maintain CI/CD pipelines, assist with deployments, and learn cloud infrastructure management.","CI/CD, Docker, Git, Linux, Bash, AWS, Kubernetes, Ansible",manual
real_dv_007,DevOps Engineer,DevOps Engineer – Container Platform,Own the Kubernetes container orchestration platform. Ensure reliability and help engineering teams adopt best practices.,"Kubernetes, Docker, AWS, Terraform, Linux, CI/CD, Bash, GitLab CI, Git",manual
real_dv_008,DevOps Engineer,DevOps Engineer – Security (DevSecOps),"Implement DevSecOps practices including vulnerability scanning, secrets management, and secure pipeline configuration.","CI/CD, Linux, Docker, Kubernetes, Bash, Terraform, AWS, Git, Ansible",manual
real_dv_009,DevOps Engineer,DevOps Engineer – Developer Platform,Build an internal developer platform to reduce deployment friction and increase deployment frequency across engineering teams.,"Kubernetes, CI/CD, Docker, AWS, Terraform, Linux, Git, Bash, Ansible",manual
real_dv_010,DevOps Engineer,DevOps Engineer – GitLab,Set up and manage GitLab CI pipelines for multiple engineering teams. Manage container registries and artifact storage.,"GitLab CI, Docker, Kubernetes, Linux, Bash, CI/CD, Terraform, AWS, Git",manual
real_dv_011,DevOps Engineer,DevOps Engineer – On-Premise,Manage on-premise Linux servers and hybrid cloud infrastructure. Strong networking and system administration experience needed.,"Linux, Bash, Ansible, Docker, Git, Terraform, CI/CD, AWS, Kubernetes",manual
real_dv_012,DevOps Engineer,Site Reliability Engineer,"Ensure reliability and uptime of critical production services. Define SLOs, run postmortems, and drive automation efforts.","Linux, Kubernetes, AWS, Docker, Terraform, CI/CD, Bash, Ansible, Git",manual
real_dv_013,DevOps Engineer,DevOps Engineer – Data Infrastructure,Support data engineering teams by building and maintaining data pipeline infrastructure on AWS cloud.,"AWS, Terraform, Docker, Linux, CI/CD, Kubernetes, Bash, Ansible, Git",manual
real_dv_014,DevOps Engineer,DevOps Engineer – Helm & Kubernetes,Write Helm charts and manage Kubernetes cluster operations for containerized microservices at scale.,"Kubernetes, Docker, Linux, Bash, AWS, CI/CD, Terraform, GitLab CI, Git",manual
real_dv_015,DevOps Engineer,DevOps Engineer – Jenkins,Manage Jenkins CI/CD infrastructure for 50+ microservices. Improve build times and pipeline reliability across teams.,"Jenkins, CI/CD, Docker, Bash, Linux, Kubernetes, AWS, Terraform, Git",manual
real_dv_016,DevOps Engineer,DevOps Engineer – Blue-Green Deployments,Implement blue-green and canary deployment strategies for zero-downtime releases on a Kubernetes platform.,"Kubernetes, Docker, CI/CD, AWS, Terraform, Linux, Bash, GitLab CI, Ansible",manual
real_dv_017,DevOps Engineer,DevOps Engineer – Terraform AWS,"Write infrastructure-as-code using Terraform for AWS resources including VPCs, ECS clusters, and RDS instances.","Terraform, AWS, Docker, Linux, Bash, Kubernetes, CI/CD, Ansible, Git",manual
real_dv_018,DevOps Engineer,DevOps Engineer – Database Operations,"Manage Redis and PostgreSQL clusters in production. Handle database backups, replication, and performance tuning.","Linux, Docker, Bash, AWS, Kubernetes, Terraform, Ansible, CI/CD, Git",manual
real_dv_019,DevOps Engineer,DevOps Engineer – MLOps,"Build MLOps infrastructure for model training, versioning, and deployment on AWS for the machine learning team.","AWS, Docker, Kubernetes, CI/CD, Terraform, Linux, Bash, Ansible, GitLab CI",manual
real_dv_020,DevOps Engineer,DevOps Engineer – Multi-cloud,Manage infrastructure across AWS and on-premise environments. Standardize tooling and improve platform consistency.,"AWS, Terraform, Kubernetes, Docker, Ansible, Linux, Bash, CI/CD, Git",manual
